,PRECINCT_N,COUNTY_NAM,avg_income,race,income_bin,ajc_precinct_n,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
45,CP083,FULTON,42614.0,black,low,CP083,,,,,,,,,left_only
319,1.20E+02,FULTON,24544.0,black,low,1.20E+02,,,,,,,,,left_only
364,UC02B,FULTON,98982.0,black,mid,UC02B,,,,,,,,,left_only
366,SC08C,FULTON,57699.0,black,mid,SC08C,,,,,,,,,left_only
389,SC30A,FULTON,70808.0,black,mid,SC30A,,,,,,,,,left_only
424,SC17A,FULTON,53486.0,black,mid,SC17A,,,,,,,,,left_only
429,1.10E+04,FULTON,53405.0,black,mid,1.10E+04,,,,,,,,,left_only
430,1.10E+02,FULTON,56967.0,black,mid,1.10E+02,,,,,,,,,left_only
431,1.10E+03,FULTON,57014.0,black,mid,1.10E+03,,,,,,,,,left_only
642,WARREN TECH,DEKALB,59607.0,,mid,WARREN TECH - CHAMBLEE,,,,,,,,,left_only
765,01C2,FULTON,25973.0,black,low,01C2,,,,,,,,,left_only
