,DISTRICT,income,race,Precinct Description,Precinct,County,MITT ROMNEY (R),BARACK OBAMA (I)(D),_merge
780,,,,,KENNESAW 2B,Cobb,1348,848,right_only
781,,,,,KENNESAW 5B,Cobb,1149,937,right_only
782,,,,,OREGON 06,Cobb,619,1180,right_only
783,,,,,RED ROCK 01,Cobb,1403,297,right_only
784,,,,,SMYRNA 2B,Cobb,288,843,right_only
785,,,,,SPRAYBERRY 01,Cobb,1084,524,right_only
786,,,,,TRITT 01,Cobb,1827,708,right_only
787,,,,,WADE GREEN 01,Cobb,1227,714,right_only
788,,,,,ASHFORD DUNWOODY RD,DeKalb,1183,757,right_only
789,,,,,ASHFORD PARK ELEM,DeKalb,1016,538,right_only
790,,,,,ASHFORD PARKSIDE,DeKalb,1053,788,right_only
791,,,,,AUSTIN,DeKalb,1403,489,right_only
792,,,,,AVONDALE,DeKalb,713,1102,right_only
793,,,,,BOULDERCREST RD,DeKalb,44,1185,right_only
794,,,,,BOULEVARD,DeKalb,326,2216,right_only
795,,,,,BRIARWOOD,DeKalb,641,661,right_only
796,,,,,BROCKETT,DeKalb,826,1097,right_only
797,,,,,BROCKETT ELEM,DeKalb,506,772,right_only
798,,,,,BROOKHAVEN,DeKalb,1089,729,right_only
799,,,,,BURGESS ELEM,DeKalb,179,1504,right_only
800,,,,,CHAMBLEE ,DeKalb,885,1051,right_only
801,,,,,CHESNUT ELEM,DeKalb,506,864,right_only
802,,,,,CLAIREMONT EAST,DeKalb,549,1371,right_only
803,,,,,CLAIREMONT WEST,DeKalb,627,1510,right_only
804,,,,,CLAIRMONT HILLS,DeKalb,641,1257,right_only
805,,,,,CLARKSTON,DeKalb,189,1357,right_only
806,,,,,CLIFTON ELEM,DeKalb,31,985,right_only
807,,,,,COAN MIDDLE,DeKalb,203,1739,right_only
808,,,,,COVINGTON HWY LIBRARY,DeKalb,5,402,right_only
809,,,,,CROSS KEYS HIGH,DeKalb,589,604,right_only
810,,,,,DORAVILLE NORTH,DeKalb,423,884,right_only
811,,,,,DORAVILLE SOUTH,DeKalb,254,441,right_only
812,,,,,DRESDEN ELEM,DeKalb,585,1047,right_only
813,,,,,DUNWOODY,DeKalb,958,838,right_only
814,,,,,DUNWOODY ELEM,DeKalb,978,406,right_only
815,,,,,DUNWOODY LIBRARY,DeKalb,1383,506,right_only
816,,,,,EAST LAKE ELEM,DeKalb,221,1988,right_only
817,,,,,EPWORTH,DeKalb,501,2106,right_only
818,,,,,GEORGETOWN SQUARE,DeKalb,1124,1133,right_only
819,,,,,GLENNWOOD,DeKalb,265,952,right_only
820,,,,,HARRIS-NARVIE J. HARRIS ELEM,DeKalb,27,2318,right_only
821,,,,,HAWTHORNE ELEM - CHAMBLEE,DeKalb,79,102,right_only
822,,,,,HUNTLEY HILLS ELEM,DeKalb,471,906,right_only
823,,,,,IDLEWOOD ELEM,DeKalb,301,997,right_only
824,,,,,JOHNSON ESTATES,DeKalb,302,512,right_only
825,,,,,KINGSLEY ELEM,DeKalb,1298,501,right_only
826,,,,,KNOLLWOOD ELEM,DeKalb,72,1289,right_only
827,,,,,KITTREDGE CHAMBLEE,DeKalb,454,472,right_only
828,,,,,KITTREDGE BROOKHAVEN,DeKalb,269,185,right_only
829,,,,,LIN-MARY LIN ELEM,DeKalb,493,1321,right_only
830,,,,,LITHONIA,DeKalb,48,679,right_only
831,,,,,MCNAIR MIDDLE,DeKalb,45,1341,right_only
832,,,,,MEADOWVIEW ELEM,DeKalb,76,1929,right_only
833,,,,,MEDLOCK ELEM,DeKalb,458,990,right_only
834,,,,,METROPOLITAN,DeKalb,157,1417,right_only
835,,,,,MIDWAY ELEM,DeKalb,131,1358,right_only
836,,,,,MILLER-ELDRIDGE L. MILLER ELEM,DeKalb,91,1880,right_only
837,,,,,MILLER GROVE MIDDLE,DeKalb,26,2060,right_only
838,,,,,MONTGOMERY ELEM,DeKalb,1689,1001,right_only
839,,,,,MT. VERNON EAST,DeKalb,1402,512,right_only
840,,,,,MT. VERNON WEST,DeKalb,967,554,right_only
841,,,,,NORTH PEACHTREE,DeKalb,433,582,right_only
842,,,,,OAKHURST,DeKalb,282,1664,right_only
843,,,,,PEACHCREST ELEM,DeKalb,107,1066,right_only
844,,,,,PEACHTREE MIDDLE,DeKalb,638,1119,right_only
845,,,,,PINE LAKE,DeKalb,63,323,right_only
846,,,,,PLEASANTDALE ELEM,DeKalb,383,1440,right_only
847,,,,,PONCE DE LEON,DeKalb,279,1159,right_only
848,,,,,RENFROE MIDDLE,DeKalb,160,902,right_only
849,,,,,ROCKBRIDGE ELEM,DeKalb,144,1624,right_only
850,,,,,SILVER LAKE,DeKalb,1497,988,right_only
851,,,,,SKYLAND - BROOKHAVEN,DeKalb,662,550,right_only
852,,,,,SKYLAND - CHAMBLEE,DeKalb,3,2,right_only
853,,,,,SMOKE RISE ELEM,DeKalb,850,688,right_only
854,,,,,SNAPFINGER ROAD NORTH,DeKalb,54,1326,right_only
855,,,,,SNAPFINGER ROAD SOUTH,DeKalb,44,1286,right_only
856,,,,,STONE MOUNTAIN CHAMPION,DeKalb,163,1394,right_only
857,,,,,STONE MOUNTAIN LIBRARY,DeKalb,157,612,right_only
858,,,,,STONE MOUNTAIN MIDDLE,DeKalb,112,1226,right_only
859,,,,,TERRY MILL ELEM,DeKalb,62,1454,right_only
860,,,,,TILLY MILL ROAD,DeKalb,726,344,right_only
861,,,,,WADSWORTH ELEM,DeKalb,37,1743,right_only
862,,,,,WINNONA PARK ELEM,DeKalb,243,1111,right_only
863,,,,,WINTERS CHAPEL,DeKalb,622,380,right_only
864,,,,,WOODWARD ELEM,DeKalb,485,808,right_only
865,,,,,WARREN TECH- CHAMBLEE,DeKalb,206,262,right_only
866,,,,,02X,Fulton,188,435,right_only
867,,,,,03P1,Fulton,226,1027,right_only
868,,,,,03R,Fulton,12,731,right_only
869,,,,,03U,Fulton,2,367,right_only
870,,,,,04E,Fulton,55,1255,right_only
871,,,,,04H2,Fulton,4,412,right_only
872,,,,,06A,Fulton,555,1247,right_only
873,,,,,06K,Fulton,139,572,right_only
874,,,,,07K1,Fulton,528,668,right_only
875,,,,,07K2,Fulton,57,229,right_only
876,,,,,11A1,Fulton,8,440,right_only
877,,,,,11A2,Fulton,6,255,right_only
878,,,,,CP05A,Fulton,9,49,right_only
879,,,,,CP07B,Fulton,1,15,right_only
880,,,,,EP01A,Fulton,21,335,right_only
881,,,,,EP01B,Fulton,65,666,right_only
882,,,,,EP05,Fulton,95,1149,right_only
883,,,,,EP06A,Fulton,62,1028,right_only
884,,,,,EP06B,Fulton,9,366,right_only
885,,,,,EP071,Fulton,170,1002,right_only
886,,,,,EP072,Fulton,79,785,right_only
887,,,,,EP07B,Fulton,6,195,right_only
888,,,,,EP08A,Fulton,22,1534,right_only
889,,,,,EP08B,Fulton,5,333,right_only
890,,,,,EP08D,Fulton,11,492,right_only
891,,,,,EP09,Fulton,76,1034,right_only
892,,,,,EP10A,Fulton,19,454,right_only
893,,,,,EP10B,Fulton,18,455,right_only
894,,,,,EP11A,Fulton,42,722,right_only
895,,,,,EP11B,Fulton,18,320,right_only
896,,,,,ML01A,Fulton,55,22,right_only
897,,,,,ML02A,Fulton,839,191,right_only
898,,,,,ML02B,Fulton,733,149,right_only
899,,,,,ML04,Fulton,1429,422,right_only
900,,,,,ML05,Fulton,1803,926,right_only
901,,,,,ML06,Fulton,1232,1350,right_only
902,,,,,ML07B,Fulton,593,159,right_only
903,,,,,RW07,Fulton,170,625,right_only
904,,,,,RW12A,Fulton,1357,586,right_only
905,,,,,RW12B,Fulton,306,140,right_only
906,,,,,SC08A,Fulton,1,13,right_only
907,,,,,SC29B,Fulton,4,96,right_only
908,,,,,SS09,Fulton,1378,505,right_only
909,,,,,SS10,Fulton,1711,632,right_only
910,,,,,UC033,Fulton,3,24,right_only
911,,,,,PINCKNEYVILLE A,Gwinnett,228,882,right_only
